mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__class_weight,param_svm__max_iter,param_svm__tol,param_vectorizer__char_tfidf__max_df,param_vectorizer__char_tfidf__max_features,param_vectorizer__char_tfidf__min_df,param_vectorizer__char_tfidf__ngram_range,param_vectorizer__char_tfidf__sublinear_tf,param_vectorizer__word_tfidf__max_df,param_vectorizer__word_tfidf__max_features,param_vectorizer__word_tfidf__min_df,param_vectorizer__word_tfidf__ngram_range,param_vectorizer__word_tfidf__sublinear_tf,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
15.420788288116455,0.3241694241263313,3.1625784238179526,0.017849897324278906,1.0,,20000,0.0001,1.0,20000,3,"(3, 6)",True,0.95,80000,2,"(1, 2)",True,"{'svm__C': 1.0, 'svm__class_weight': None, 'svm__max_iter': 20000, 'svm__tol': 0.0001, 'vectorizer__char_tfidf__max_df': 1.0, 'vectorizer__char_tfidf__max_features': 20000, 'vectorizer__char_tfidf__min_df': 3, 'vectorizer__char_tfidf__ngram_range': (3, 6), 'vectorizer__char_tfidf__sublinear_tf': True, 'vectorizer__word_tfidf__max_df': 0.95, 'vectorizer__word_tfidf__max_features': 80000, 'vectorizer__word_tfidf__min_df': 2, 'vectorizer__word_tfidf__ngram_range': (1, 2), 'vectorizer__word_tfidf__sublinear_tf': True}",0.7759243918969801,0.7796520822351081,0.7779346700555398,0.7778370480625426,0.0015233879686148272,11,0.9460327023185322,0.944968982688669,0.9461273439265004,0.9457096763112339,0.0005251726956414125
13.398786147435507,0.12494806684446842,2.6419158776601157,0.018916334036143106,1.0,,20000,0.0001,1.0,10000,3,"(3, 5)",True,0.95,100000,2,"(1, 2)",True,"{'svm__C': 1.0, 'svm__class_weight': None, 'svm__max_iter': 20000, 'svm__tol': 0.0001, 'vectorizer__char_tfidf__max_df': 1.0, 'vectorizer__char_tfidf__max_features': 10000, 'vectorizer__char_tfidf__min_df': 3, 'vectorizer__char_tfidf__ngram_range': (3, 5), 'vectorizer__char_tfidf__sublinear_tf': True, 'vectorizer__word_tfidf__max_df': 0.95, 'vectorizer__word_tfidf__max_features': 100000, 'vectorizer__word_tfidf__min_df': 2, 'vectorizer__word_tfidf__ngram_range': (1, 2), 'vectorizer__word_tfidf__sublinear_tf': True}",0.7759620453347391,0.7792943745763988,0.7781982490821802,0.7778182229977727,0.001386703383887521,12,0.9473223447016408,0.9463151057600888,0.9471345733865502,0.9469240079494267,0.0004373297183498693
13.783836205800375,0.040409524162331095,2.7704747517903647,0.017603115757327516,1.0,,20000,0.0001,1.0,20000,3,"(3, 5)",True,0.95,100000,2,"(1, 2)",True,"{'svm__C': 1.0, 'svm__class_weight': None, 'svm__max_iter': 20000, 'svm__tol': 0.0001, 'vectorizer__char_tfidf__max_df': 1.0, 'vectorizer__char_tfidf__max_features': 20000, 'vectorizer__char_tfidf__min_df': 3, 'vectorizer__char_tfidf__ngram_range': (3, 5), 'vectorizer__char_tfidf__sublinear_tf': True, 'vectorizer__word_tfidf__max_df': 0.95, 'vectorizer__word_tfidf__max_features': 100000, 'vectorizer__word_tfidf__min_df': 2, 'vectorizer__word_tfidf__ngram_range': (1, 2), 'vectorizer__word_tfidf__sublinear_tf': True}",0.7756419911137887,0.778823706604413,0.7775581285889108,0.7773412754357043,0.0013079493704170127,13,0.9495815722340937,0.9486778812211125,0.9495914602003163,0.9492836378851742,0.00042835366619209544
14.119703928629557,0.07196897772741137,2.7909890015920005,0.02481317056344972,1.0,,20000,0.0001,1.0,20000,2,"(3, 5)",True,0.95,100000,2,"(1, 2)",True,"{'svm__C': 1.0, 'svm__class_weight': None, 'svm__max_iter': 20000, 'svm__tol': 0.0001, 'vectorizer__char_tfidf__max_df': 1.0, 'vectorizer__char_tfidf__max_features': 20000, 'vectorizer__char_tfidf__min_df': 2, 'vectorizer__char_tfidf__ngram_range': (3, 5), 'vectorizer__char_tfidf__sublinear_tf': True, 'vectorizer__word_tfidf__max_df': 0.95, 'vectorizer__word_tfidf__max_features': 100000, 'vectorizer__word_tfidf__min_df': 2, 'vectorizer__word_tfidf__ngram_range': (1, 2), 'vectorizer__word_tfidf__sublinear_tf': True}",0.7756231643949093,0.778823706604413,0.7774075120022592,0.7772847943338604,0.00130949413344916,14,0.9496098125782493,0.9486684677730606,0.9496479403569545,0.9493087402360881,0.0004530085003328901
13.674093008041382,0.42066027569105996,2.763899882634481,0.02060913994638396,1.0,,20000,0.0001,1.0,20000,3,"(3, 5)",True,0.95,80000,2,"(1, 2)",True,"{'svm__C': 1.0, 'svm__class_weight': None, 'svm__max_iter': 20000, 'svm__tol': 0.0001, 'vectorizer__char_tfidf__max_df': 1.0, 'vectorizer__char_tfidf__max_features': 20000, 'vectorizer__char_tfidf__min_df': 3, 'vectorizer__char_tfidf__ngram_range': (3, 5), 'vectorizer__char_tfidf__sublinear_tf': True, 'vectorizer__word_tfidf__max_df': 0.95, 'vectorizer__word_tfidf__max_features': 80000, 'vectorizer__word_tfidf__min_df': 2, 'vectorizer__word_tfidf__ngram_range': (1, 2), 'vectorizer__word_tfidf__sublinear_tf': True}",0.7754160704872355,0.7783342119135477,0.7779534971288713,0.7772345931765514,0.0012952488861181907,15,0.9466163360977492,0.9456185106042493,0.946908652759997,0.9463811664873317,0.0005523255409371352
13.563771724700928,0.16890799805366377,2.7764792442321777,0.052210892108129944,1.0,,20000,0.0001,1.0,20000,2,"(3, 5)",True,0.95,80000,2,"(1, 2)",True,"{'svm__C': 1.0, 'svm__class_weight': None, 'svm__max_iter': 20000, 'svm__tol': 0.0001, 'vectorizer__char_tfidf__max_df': 1.0, 'vectorizer__char_tfidf__max_features': 20000, 'vectorizer__char_tfidf__min_df': 2, 'vectorizer__char_tfidf__ngram_range': (3, 5), 'vectorizer__char_tfidf__sublinear_tf': True, 'vectorizer__word_tfidf__max_df': 0.95, 'vectorizer__word_tfidf__max_features': 80000, 'vectorizer__word_tfidf__min_df': 2, 'vectorizer__word_tfidf__ngram_range': (1, 2), 'vectorizer__word_tfidf__sublinear_tf': True}",0.7753972437683561,0.7782400783191505,0.7779723242022027,0.777203215429903,0.0012816846462160392,16,0.9465880957535936,0.9455902702600936,0.9468333458844792,0.9463372372993888,0.000537591372090955
16.406147400538128,0.4172956179720272,3.0178397496541343,0.016308102752244334,1.5,,20000,0.0001,1.0,10000,3,"(3, 6)",True,0.95,100000,2,"(1, 2)",True,"{'svm__C': 1.5, 'svm__class_weight': None, 'svm__max_iter': 20000, 'svm__tol': 0.0001, 'vectorizer__char_tfidf__max_df': 1.0, 'vectorizer__char_tfidf__max_features': 10000, 'vectorizer__char_tfidf__min_df': 3, 'vectorizer__char_tfidf__ngram_range': (3, 6), 'vectorizer__char_tfidf__sublinear_tf': True, 'vectorizer__word_tfidf__max_df': 0.95, 'vectorizer__word_tfidf__max_features': 100000, 'vectorizer__word_tfidf__min_df': 2, 'vectorizer__word_tfidf__ngram_range': (1, 2), 'vectorizer__word_tfidf__sublinear_tf': True}",0.7714812862414339,0.7739287596957602,0.7724371646427562,0.7726157368599834,0.0010071238272037076,17,0.9604352778379193,0.959211529591174,0.959804955192409,0.9598172542071675,0.0004996688184361573
15.852599938710531,0.3559934679588482,3.0244006315867105,0.026968769877412563,1.5,,20000,0.0001,1.0,10000,2,"(3, 6)",True,0.95,100000,2,"(1, 2)",True,"{'svm__C': 1.5, 'svm__class_weight': None, 'svm__max_iter': 20000, 'svm__tol': 0.0001, 'vectorizer__char_tfidf__max_df': 1.0, 'vectorizer__char_tfidf__max_features': 10000, 'vectorizer__char_tfidf__min_df': 2, 'vectorizer__char_tfidf__ngram_range': (3, 6), 'vectorizer__char_tfidf__sublinear_tf': True, 'vectorizer__word_tfidf__max_df': 0.95, 'vectorizer__word_tfidf__max_features': 100000, 'vectorizer__word_tfidf__min_df': 2, 'vectorizer__word_tfidf__ngram_range': (1, 2), 'vectorizer__word_tfidf__sublinear_tf': True}",0.771575419835831,0.7738911062580014,0.7723053751294361,0.7725906337410895,0.0009666541119062531,18,0.9604446912859711,0.9591927026950702,0.9597673017546502,0.9598015652452304,0.0005116960999307942
16.46912670135498,0.6216560534045442,3.037130117416382,0.023853080387556243,1.5,,20000,0.0001,1.0,10000,2,"(3, 6)",True,0.95,80000,2,"(1, 2)",True,"{'svm__C': 1.5, 'svm__class_weight': None, 'svm__max_iter': 20000, 'svm__tol': 0.0001, 'vectorizer__char_tfidf__max_df': 1.0, 'vectorizer__char_tfidf__max_features': 10000, 'vectorizer__char_tfidf__min_df': 2, 'vectorizer__char_tfidf__ngram_range': (3, 6), 'vectorizer__char_tfidf__sublinear_tf': True, 'vectorizer__word_tfidf__max_df': 0.95, 'vectorizer__word_tfidf__max_features': 80000, 'vectorizer__word_tfidf__min_df': 2, 'vectorizer__word_tfidf__ngram_range': (1, 2), 'vectorizer__word_tfidf__sublinear_tf': True}",0.7711612320204835,0.773834626101363,0.7724183375694248,0.7724713985637571,0.0010920532892248018,19,0.9569805424028768,0.9558321017405466,0.9568020935311394,0.9565382458915209,0.0005046058999672
18.351273854573567,3.4985848548161833,3.03498903910319,0.019010888987567996,1.5,,20000,0.0001,1.0,10000,3,"(3, 6)",True,0.95,80000,2,"(1, 2)",True,"{'svm__C': 1.5, 'svm__class_weight': None, 'svm__max_iter': 20000, 'svm__tol': 0.0001, 'vectorizer__char_tfidf__max_df': 1.0, 'vectorizer__char_tfidf__max_features': 10000, 'vectorizer__char_tfidf__min_df': 3, 'vectorizer__char_tfidf__ngram_range': (3, 6), 'vectorizer__char_tfidf__sublinear_tf': True, 'vectorizer__word_tfidf__max_df': 0.95, 'vectorizer__word_tfidf__max_features': 80000, 'vectorizer__word_tfidf__min_df': 2, 'vectorizer__word_tfidf__ngram_range': (1, 2), 'vectorizer__word_tfidf__sublinear_tf': True}",0.7711047518638452,0.7739099329768808,0.7723995104960933,0.7724713984456065,0.0011463379889011351,20,0.9569240617145655,0.9558132748444428,0.9568209202500189,0.9565194189363423,0.0005010915746785331
